MapPinId,MapPinName,MapPinDescription,Lat,long,TwitterHandle,Address,Website,Instagram,Facebook,IsPublished
123908,Riviera Resort & Marina,"<span style=""font-weight: bold;"">Phone</span>:&nbsp;(760) 922-5350<div><br></div><div><span style=""font-weight: bold;"">Services</span>:</div><div>Restrooms<br></div><div>Showers<br></div><div>Carry Down Walkways<br></div><div>Fuel Sales<br></div><div>Campsites<br></div><div>Convenience Store<br></div><div>Swimming Area<br></div><div>Fishing Tackle Sales&nbsp;<br></div><div>Ice Vending<br></div><div><br></div><div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><span style=""font-weight: bold; font-size: 13px;""><br></span></div><div style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">To report any incorrect information about a facility, please email&nbsp;<a href=""mailto:pubinfo@parks.ca.gov"" style=""font-size: 13px; box-sizing: border-box; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">pubinfo@parks.ca.gov</a>.<span style=""font-weight: bold; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div><br></div>",33.60299736,-114.53421316,NULL,NULL,http://www.rvparkreviews.com/regions/california/blythe/the-cove-rv-resort-formerly-riviera-rv-resort-and-marina-286,NULL,NULL,1
123909,Rocky Point Marina,"Phone:(310) 374-9858<div><br></div><div>Services:</div><div>Boat Rentals</div><div><br></div><div>To report any incorrect information about a facility, please email pubinfo@parks.ca.gov.&nbsp;<br></div>",33.84650951,-118.39795717,NULL,NULL,http://www.rockypointfun.com,NULL,NULL,1
123910,Rodeo Marina - currently closed,"Phone:(510) 741-1290<div><br></div><div>Services:</div><div>To report any incorrect information about a facility, please email pubinfo@parks.ca.gov.&nbsp;<br></div>",38.03859881,-122.27185851,NULL,NULL,NULL,NULL,NULL,1
123911,Rosie's Courtland Docks,"<span style=""font-weight: bold;"">Phone</span>: (916) 775-1172<div><br></div><div><span style=""font-weight: bold;"">Services</span>:</div><div>Restaurant</div><div>Transient Berths or Tie Ups<br></div><div><br></div><div><span style=""font-weight: bold;""># of Launch Ramp Lanes Usable at One Time</span>:1<br></div><div><br></div><div><br></div><div><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">To report any incorrect information about a facility, please email&nbsp;</span><a href=""mailto:pubinfo@parks.ca.gov"" style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; box-sizing: border-box;"">pubinfo@parks.ca.gov</a><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">.</span><br></div>",38.33198512,-121.56989084,NULL,NULL,http://marinas.com/view/marina/16c14q_Courtland_Docks_Marina_Courtland_CA_United_States,NULL,NULL,1
123912,Royal Flush Portage,"<span style=""font-weight: bold;"">Phone</span>: (760) 376-3781<div><br></div><div><span style=""font-weight: bold;"">Services</span>:&nbsp;</div><div><br></div><div><br></div><div><div style=""font-weight: normal; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><span style=""font-weight: bold; font-size: 13px;""><br></span></div><div style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">To report any incorrect information about a facility, please email&nbsp;<a href=""mailto:pubinfo@parks.ca.gov"" style=""font-size: 13px; box-sizing: border-box; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">pubinfo@parks.ca.gov</a>.<span style=""font-weight: bold; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div><br></div>",35.567313,-118.582474,NULL,NULL,NULL,NULL,NULL,1
123913,Ruck-A-Chucky BTAF,"Phone:(916) 988-0513<div><br></div><div>Services:</div><div>Restrooms<br></div><div>Campsites<br></div><div><br></div><div>To report any incorrect information about a facility, please email pubinfo@parks.ca.gov.&nbsp;<br></div>",38.96243184,-120.93205876,NULL,NULL,http://www.parks.ca.gov/default.asp?page_id=502,NULL,NULL,1
123914,Russo's Marina,"<span style=""font-weight: bold;"">Phone</span>:&nbsp;(925) 684-2024<div><br></div><div><span style=""font-weight: bold;"">Services</span>:</div><div>Restrooms<br></div><div>Fuel Sales<br></div><div>Campsites<br></div><div><br></div><div><span style=""font-weight: bold;"">Number of Launch Ramp Lanes Useable at One Time</span>:2<br></div><div><span style=""font-weight: bold;"">Number of Parking Spaces for Cars with Trailers</span>:24<br></div><div><span style=""font-weight: bold;"">Number of Boarding Floats</span>:1<br></div><div><span style=""font-weight: bold;"">Dry Storage Capacity</span>:300<br></div><div><span style=""font-weight: bold;"">Minimum Boat Length</span>:20<br></div><div><span style=""font-weight: bold;"">Maximum Boat Length</span>: 40</div><div><span style=""font-size: 13px;""><br></span></div><div style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><br></div><div><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">To report any incorrect information about a facility, please email&nbsp;</span><a href=""mailto:pubinfo@parks.ca.gov"" style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400; box-sizing: border-box;""><u><font color=""#0066cc"">pubinfo@parks.ca.gov</font></u></a><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">.<br></div>",38.03382879,-121.62168296,NULL,NULL,http://www.russosmarina.com/,NULL,NULL,1
123915,Rusty Porthole,"Phone:(925) 684-3607<div><br></div><div>Services:</div><div>Restrooms<br></div><div>Snack Bar<br></div><div>Ice Vending<br></div><div>Restaurant<br></div><div>Transient Berths or Tie Ups<br></div><div><br></div><div>To report any incorrect information about a facility, please email pubinfo@parks.ca.gov.&nbsp;<br></div>",38.03475486,-121.6231612,NULL,NULL,NULL,NULL,NULL,1
123916,Ruth Lake Marina,"<span style=""font-weight: bold;"">Phone</span>: (707) 574-6194<div><br></div><div><span style=""font-weight: bold;"">Services</span>:</div><div>Restrooms<br></div><div>Carry Down Walkways<br></div><div>Fuel Sales<br></div><div>Boat Rentals<br></div><div>Convenience Store<br></div><div>Haulout and Boat Repair&nbsp;<br></div><div>Swimming Area<br></div><div>Fishing Tackle Sales&nbsp;<br></div><div>Ice Vending<br></div><div><br></div><div><span style=""font-weight: bold;""># of Launch Ramp Lanes Usable at One Time</span>: 2<br></div><div><span style=""font-weight: bold;""># of Parking Spaces for Cars with Trailers</span>: 30<br></div><div><span style=""font-weight: bold;""># of Carry Down Walkways</span>: 1<br></div><div><span style=""font-weight: bold;"">Dry Storage Capacity</span>: 105<br></div><div><span style=""font-weight: bold;"">Minimum Boat Length</span>: 14<br></div><div><span style=""font-weight: bold;"">Maximum Boat Length</span>: 26<br></div><div><span style=""font-weight: bold;"">Total Capacity for Slips or Tie Ups</span>: 48<br></div><div><span style=""font-weight: bold;"">Covered Slip or Tie-up Total Capacity</span>: 48<br></div><div><br></div><div><br></div><div><br></div><div><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">To report any incorrect information about a facility, please email&nbsp;</span><a href=""mailto:pubinfo@parks.ca.gov"" style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; box-sizing: border-box;"">pubinfo@parks.ca.gov</a><span style=""font-family: Arial, Helvetica, sans-serif; font-size: 13px; font-style: normal; font-weight: 400;"">.</span><br></div><div><br></div><div><br></div>",40.35066535,-123.41308926,NULL,NULL,http://www.ruthlakecsd.org/,NULL,NULL,1
123917,Sacramento City Marina (North Basin),Phone:(916) 808-5712<div><br></div><div>Services:</div><div>Restrooms<br></div><div>Showers<br></div><div>Sewage or Bilge Pumpouts<br></div><div>Fuel Sales<br>Shore Boat Service&nbsp;<br></div><div>Snack Bar<br></div><div>Boat Rent</div><div>Swimming Area<br></div><div>Fishing Tackle Sales&nbsp;<br></div><div>Ice Vending<br></div><div>Gear Lockers<br></div><div>Transient Berths or Tie Ups<br></div><div>Water on Dock<br></div><div>Electric on Dock<br></div><div>Phone Service on Dock<br></div><div>Minimum Boat Length:20<br></div><div>Maximum Boat Length:50<br></div><div>Total Capacity for Slips or Tie Ups:415<br></div><div><br></div><div><br></div>,38.56452047,-121.51799616,NULL,NULL,http://www.sacramentomarina.com/,NULL,NULL,1
123918,Sacramento City Marina (South Basin),"Phone:(916) 264-5712<div><br></div><div>Services:</div><div>Restrooms<br></div><div>Showers<br></div><div>Sewage or Bilge Pumpouts<br></div><div>Fuel Sales<br></div><div>Oil Disposal<br></div><div>Transient Berths or Tie Ups<br></div><div>Number of Launch Ramp Lanes Useable at One Time:4<br></div><div>Minimum Boat Length:14<br></div><div>Maximum Boat Length:55<br></div><div>Total Capacity for Slips or Tie Ups:475<br></div><div><br></div><div>To report any incorrect information about a facility, please email pubinfo@parks.ca.gov.&nbsp;<br></div>",38.56444258,-121.51798173,NULL,NULL,http://www.sacramentomarina.com,NULL,NULL,0
123919,Sacramento Yacht Club,"<span style=""font-weight: bold;"">Phone</span>: (916) 371-5058<div><br></div><div><span style=""font-weight: bold;"">Services</span>:</div><div>Restrooms<br></div><div>Showers<br></div><div>Sewage or Bilge Pumpouts<br></div><div>Launching Valet Services<br></div><div>Campsites<br></div><div>Oil Disposal<br></div><div>Ice Vending<br></div><div>Gear Lockers<br></div><div>Restaurant<br></div><div>Transient Berths or Tie Ups<br></div><div>Water on Dock<br></div><div>Electric on Dock<br></div><div>Phone Service on Dock<br></div><div>Laundry&nbsp;<br></div><div>Minimum Boat Length:10<br></div><div>Maximum Boat Lengther: 75&nbsp;</div><div><br></div><div><br></div><div><div style=""font-weight: 400; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;"">To report any incorrect information about a facility, please email&nbsp;<a href=""mailto:pubinfo@parks.ca.gov"" style=""font-size: 13px; box-sizing: border-box; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">pubinfo@parks.ca.gov</a>.<span style=""font-weight: bold; font-style: normal; font-size: 13px; font-family: Arial, Helvetica, sans-serif;""><br></span></div></div><div><br></div>",38.53673965,-121.5190756,NULL,"Sacramento Yacht Club,3365 South River Road,West Sacramento,95691",http://www.sacyc.com/,NULL,NULL,1
