OBJECTID_1,ProjectID,ProjName,dtmBoardAp,Type,Function_,Program,PrimPurp,PrimGrante,County,WCBFunding,TotalCost,TotalAcres,Comment,OBJECTID,Shape_Leng,Shape__Area,Shape__Length,GlobalID
11,2008067,"Irish Hills Conservation Area, Andre Ranch",2008/08/28 00:00:00+00,Acquisition,Conservation Easement,"The Rangeland, Grazing Land and Grasslands Protection Program",Rangeland,The Nature Conservancy,San Luis Obispo,1005000,4620000,1172, ,11,10897.1381762,6972316.62890625,13353.8086390679,e9ab2e88-c2f9-410a-b0b6-32d44b72c2b0
12,2006126,"Palo Verde Ecological Reserve, Expansion 1",2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,Riverside,2285000,9040000,12000, ,12,6107.37065266,2085994.640625,7335.09220540831,0615c443-b67f-4210-bd07-1513cffd315d
13,2003158,"East Merced Vernal Pool Grassland Preserve, Expansion 6",2008/11/20 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Vernal Pool Habitat,California Rangeland Trust,Merced,4400000,4400000,3215, ,13,18217.7566961,20580014.0117188,22932.0140576945,28924fc3-9303-4249-aed6-12cf31f1e3f0
14,2003169,Escondido Creek,2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Sage Scrub,N/A,San Diego,200000,869333,32, ,14,1343.10215589,122367.66796875,1604.89104930762,e32e5e9e-37b6-44eb-9a21-1d07420ec5f4
15,2003190,"Knoxville Wildlife Area, Expansion 2",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Oak Woodland/Oak Savannah Habitat,California Department of Fish and Wildlife,Napa,3370000,3370000,738, ,15,10182.434877,4460303.55859375,13055.2884521158,13fbd96e-624c-47b0-9bfe-9de2abdc8e85
16,2003332,"Bair Island Ecological Reserve, Outer Bair Tidal Wetland Restoration",2008/08/28 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,"Ducks Unlimited, Inc.",San Mateo,563000,789900,500,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),16,13258.6148868,9300235.33203125,16733.2864590522,2d270620-b4bf-4635-8451-947f229e4dac
17,2004027,Shay Meadow Conservation Area,2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,San Bernardino,95000,320000,19, ,17,583.731934519,29411.2890625,706.680415903055,14ddb1a3-37f4-4cbd-800d-08fbdb820245
18,2005082,Morro Bay Wildlife Area,2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands,Morro Coast Audubon Society,San Luis Obispo,810000,2010000,21, ,18,843.076817081,48617.48828125,1035.00574957716,7624656d-2840-44fd-9815-844d9febbe64
19,2006014,El Sobrante,2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Western Riverside County Regional Conservation Authority,Riverside,2504700,2504700,800, ,19,2621.82486551,510587.58203125,3154.8095832936,d7dde303-9854-43d4-9068-69ad3b05afb6
20,2006018,Saddle Creek,2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,The Conservation Fund,Orange,11660000,17780741,80, ,20,4865.96160459,1805693.44140625,5861.40402922822,d0542110-3924-413d-b8af-89c9f48bc462
21,2006047,"Mouth of Cottonwood Creek Wildlife Area, Balls Ferry Unit, Expansion 2",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands,California Department of Fish and Wildlife,Shasta,1745000,1745000,150, ,21,5145.78945743,1064094.6796875,6762.71211027037,1115992f-e6b5-442a-b3b9-f7dce1ef8379
22,2006130,Lucerne Fishing Pier,2008/08/28 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Lucerne,Lake,470721,470721,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),22,520.436141912,6657.02734375,671.055938493672,e869635b-d194-4aa5-a6f5-8c93b4da0194
23,2007003,Trabuco Canyon,2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Dune Habitat,"Calvada Environmental Services. Inc.,",Orange,1800000,1800000,27, ,23,2202.39432212,355444.26953125,2653.03820353115,355cef72-2d37-40e5-8576-c3c15ba4a9d3
24,2007124,"Trabuco Creek Metrolink Fish Passage, Phase I",2008/05/22 00:00:00+00,Development,Infrastructure,Habitat Enhancement and Restoration Program,Fish Screens/Barriers/Ladders,"South Coast Chapter #923, Trout Unlimited",Orange,771194,771194,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),24,219.513599661,4744.28515625,263.749362816886,81f2dc8a-0a43-452c-9c47-cfcc51b27e58
25,2007125,"American River Preserve, North Fork Unit",2008/08/28 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Deer Range Habitat,N/A,El Dorado,1510000,1826787,6.34, ,25,8404.4226169,3521689.06640625,10800.5719362912,a9572ba8-14ab-42c7-bb83-57f4a62d2e21
26,2007132,"San Jacinto Wildlife Area, Expansion 31",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,Riverside,660000,660000,87.2, ,26,3117.76188794,505138.47265625,3763.82554436127,7afa6c1d-0f5d-44b2-b006-31f5fe493f1c
27,2007137,"Los Banos Wildlife Area, Gadwall Unit",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands,California Department of Fish and Wildlife,Merced,922375,922375,154, ,27,3430.42713562,940328.8515625,4301.82641800082,b8e22354-5ab6-4a72-ae75-f285b0f2ce84
28,2007148,"Napa-Sonoma Marshes Wildlife Area, Napa Plant Site Restoration, Ponds 9, 10, and Wash Ponds Construction",2008/05/22 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,"Ducks Unlimited, Inc.",Napa,7910850,7910850,380,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),28,7863.03047944,1839750.15234375,10012.3551811607,4f43614e-ec3c-4b44-a398-2b5612ebb4be
29,2007159,"Jacoby Creek Forest, Expansion 4",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Forest Habitat,City of Arcata,Humboldt,509000,525000,120, ,29,3230.91895874,827369.35546875,4268.21882567956,ffeca410-8f64-458a-9a4a-1b5acf7b8a19
30,2007161,"Triple Creeks Conservation Area, Expansion 3",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Western Riverside County Regional Conservation Authority,Riverside,5000,2005000,36.35, ,30,1764.73879463,207294.41796875,2120.73789510745,9da4554c-2c3c-4915-b7ed-2658009af87e
31,2007162,"Canebrake Ecological Reserve, Canebrake Creek Unit, Expansion 3",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Fish and Wildlife,Kern,404500,404500,196, ,31,5948.88672021,1207861.09765625,7336.46381031891,f52a6996-fadb-420f-914a-8c7dbbd4f335
32,2008001,"Black Mountain Preserve, Expansion 3",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Oak Woodland/Oak Savannah Habitat,Sierra Foothill Conservancy,Fresno,1150000,1150000,358.23, ,32,6643.55698652,2259368.08984375,8327.33558003458,093d7f1b-91f5-47ce-89f4-64df24d68fb6
33,2008003,"Western Riverside County MSHCP, Expansion 5",2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Western Riverside County Regional Conservation Authority,Riverside,72000,330000,40, ,33,1620.167714,237550.05859375,1950.01703030418,3a2c29dc-b056-400a-aace-30b3e450b4ea
34,2008004,"Rails to Trails, Modoc Line",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link,Lassen Land and Trails Trust,Lassen,420000,420000,86.06, ,34,354551.434932,6253884.9765625,469961.634180824,bbc08edf-6247-4c35-9dd2-b5445e0d07bc
35,2008011,"Western Riverside County MSHCP, Expansion 3",2008/05/22 00:00:00+00,Acquisition,Fee Title,Natural Community Conservation Planning Program,T&E Species Habitat,N/A,Riverside,5000,1025000,101.71, ,35,3177.9124941,595843.01953125,3827.0046798865,060eba1a-a558-47c8-a38a-57f5e1bc60c2
36,2008017,Kings River Fishing Access,2008/05/22 00:00:00+00,Development,Public Access,Public Access Program,Public Facility,Kings River Conservancy,Fresno,124000,199000,7,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),36,981.696648977,41975.65234375,1225.96721994229,aa116f72-3360-4c22-976e-40f774a8d565
37,2008029,Yolo Bypass Wildlife Area Fireman's Unit Wetland Enhancement,2008/05/22 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,California Waterfowl Association,Yolo,163000,163000,150,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),37,7053.34448338,3434214.01171875,9009.34490643675,3e6e3a6d-dc83-42f2-8f15-94cd971382e1
38,2008010,"Humboldt Bay Coastal Reserve, Expansion 2",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,"Friends of the Dunes Land Trust, Inc.",Humboldt,370000,380000,9.18, ,38,773.743260252,52882.25,1023.17919281913,573f7782-f439-48ea-9b3c-42cd7ce3835e
39,2008059,"Wheeler Ridge Wildlife Area, Expansion 1",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link,Eastern Sierra Land Trust,Mono,840000,840000,33, ,39,1709.97627225,214425.5859375,2159.43784197445,a64dd849-6860-4a2e-89d1-49ff5db64378
40,2008036,Rancho Rio Chico Wetland Enhancement,2008/05/22 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,"Ducks Unlimited, Inc.",Butte,218000,390734,230,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),40,5124.93743783,1605344.359375,6652.31184774566,7e9a7ad9-636f-4d2e-8e40-cbcfeaba6145
41,2008037,Grizzly Island Wildlife Area Uplands and Wetlands Enhancement,2008/05/22 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Grasslands/Upland Habitat,California Waterfowl Association,Solano,750000,1156092,320,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),41,13715.9248723,9741351.2890625,17452.4227228486,a2a6ca5c-ce6f-4652-ae55-3f55b5fb2565
42,2008050,Hedgerows for Habitat and Restoration,2008/05/22 00:00:00+00,Development,Restoration/Enhancement,Ecosystem Restoration on Agricultural Lands Program,Agricultural Lands,Community Alliance with Family Farmers,Santa Cruz,117000,168100,20,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),42,8021.28625843,2544482.02734375,10023.4171768561,88da8d3e-7ed6-4b6d-8d2e-5ec08b01ba9e
43,2008051,"Napa-Sonoma Marshes Wildlife Area, Napa Plant Site Restoration, South Unit Pre-construction Planning and Design",2008/05/22 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,Resources Legacy Fund,Napa,150000,398770,1080,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),43,9700.06269004,6802499.74609375,12352.188841864,248527f6-2138-4d1a-a06f-ddc89b68035a
44,2008054,Chickahominy Creek Habitat Restoration,2008/08/28 00:00:00+00,Development,Restoration/Enhancement,Ecosystem Restoration on Agricultural Lands Program,Agricultural Lands,California Waterfowl Association,Yolo,404000,652586.6,120,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),44,7260.49796428,3699942.26171875,9294.42293217924,36bfedbd-21dc-4802-be55-2da407f327de
45,2008056,"Coachella Valley Ecological Reserve (Edom Hill Unit), Expansion 31",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,Riverside,5000,680000,80, ,45,2457.92016363,500928.68359375,2962.74933888627,3ed20f96-476e-4fe1-b387-0a5e80a9e2af
46,2008063,"Santa Rosa Mountains, Expansion 9",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,Riverside,137500,175000,5, ,46,583.905580014,27787.265625,702.456258499656,1677169e-2607-4144-8e22-d16c8d2d76c3
47,2008064,"Santa Rosa Mountains, Expansion 10",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,Riverside,142500,142500,5, ,47,589.195428988,28725.60546875,708.819316356437,e7a56b1f-9694-4ab3-96a2-c7c8894dbcf5
48,2008065,"Ramona Grasslands, Expansion 3",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Sage Scrub,N/A,San Diego,5000,12505000,476, ,48,8029.06183605,2676641.5,9595.39800950141,4031c984-4b37-47b4-9888-bad0a85a6e6c
49,2008068,Millerton Preserve (Ecker Ranch),2008/05/22 00:00:00+00,Acquisition,Conservation Easement,"The Rangeland, Grazing Land and Grasslands Protection Program",Rangeland,California Rangeland Trust,Madera,3015000,3015000,1080, ,49,10737.2623673,7328429.40625,13498.5392870645,83bab908-70d4-4849-a384-2d69cb5a0590
50,2008079,"Pit River Wetland Enhancement, Carey Ranch",2008/08/28 00:00:00+00,Development,Restoration/Enhancement,Ecosystem Restoration on Agricultural Lands Program,Interior Wetlands,"Ducks Unlimited, Inc.",Modoc,232000,282000,891,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),50,10060.9751329,6951566.04296875,13448.9586637312,a02146f3-6df2-416c-974b-1ccd3f6058cd
51,2008085,Big Water Wetland Enhancement,2008/08/28 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,"Ducks Unlimited, Inc.",Merced,91000,126520,400,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),51,7798.37488516,5342937.93359375,9779.19798472288,ff93b2f0-e1fa-4bd7-a94f-8c0346b88687
52,2008090,"Riparian Habitat Restoration, Feather River Wildlife Area, O'Connor Lakes Unit, Fund Shift, Sutter County",2008/05/22 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,River Partners,Sutter,500350,500350,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),52,4563.86941151,1503301.140625,5876.70941507622,13517adb-cbfa-41ba-9413-61d61a288c2a
53,2008092,"El Sobrante, Expansion 1",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,Riverside,775000,1545000,44, ,53,1734.70943168,252417.1875,2085.48979888755,8583aa89-f3bb-4219-95c5-677cb3b6d22b
54,2008093,"Western Riverside County MSHCP, Expansion 4",2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,Riverside,105000,755482,40, ,54,1597.71815106,230957.51953125,1923.02918507784,a8d01d32-da83-4f28-9a2b-7cea7759633b
55,2008098,Central Coast Corridor Restoration,2008/08/28 00:00:00+00,Development,Restoration/Enhancement,Ecosystem Restoration on Agricultural Lands Program,Agricultural Lands,Wild Farm Alliance,Santa Cruz,184600,256400,10,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),55,5653.56967663,855771.7578125,7083.48564310307,1ac1a6a4-70df-4e58-bd1d-21c4a1cf1574
56,2008100,Ebabias Creek Habitat Restoration,2008/08/28 00:00:00+00,Development,Restoration/Enhancement,Ecosystem Restoration on Agricultural Lands Program,Agricultural Lands,Gold Ridge Resource Conservation District,Sonoma,288000,624400,24,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),56,12330.4884331,6010136.171875,15731.9442696094,b8348bd3-772d-4ea2-8a2d-9ad6344c5452
57,2008107,"El Sobrante, Expansion 3",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link,Western Riverside County Regional Conservation Authority,Riverside,1059500,2114000,77, ,57,2989.06721019,327459.6171875,3596.58224890951,1356b589-5455-434e-8791-dce6f48f4b4c
58,2008109,"El Sobrante, Expansion 2",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Western Riverside County Regional Conservation Authority,Riverside,152500,305000,5, ,58,614.646061405,30660.7421875,739.30484498362,e218808e-7fdb-4099-a172-af529f967e49
59,2008134,Giacomini Wetland and Riparian Restoration,2008/08/28 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,Point Reyes National Seashore Association,Marin,420000,6154594,556,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),59,9941.56339164,4785703.8359375,12637.5251122937,c6eb2ce7-852d-4a8b-a4ce-98818bf996b1
60,2008140,Willow Canyon,2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,Santa Cruz,2985000,6530122,64, ,60,2668.18666717,419552.296875,3342.63731354936,9a43042b-eb84-43f2-aff2-f779fee33e45
61,2008143,"Shay Meadow Conservation Area, Expansion 1",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands,N/A,San Bernardino,57500,170000,2, ,61,498.980119657,13880.7109375,605.213390209313,a274d481-ccb4-4307-9c3b-46a228d8a2b6
62,2008058,"Humboldt Bay Coastal Reserve, Expansion 3",2008/05/22 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,"Friends of the Dunes Land Trust, Inc.",Humboldt,125000,340000,44, ,62,1847.24064668,278940.6640625,2440.64719257977,269d5538-4f78-479b-a1a7-b6bfdda2791a
63,2007083,"Millville Plains Conservation Area, Expansion 1",2008/08/28 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,T&E Species Habitat,U.S. Bureau of Reclamation,Shasta,73000,123000,35, ,63,2079.2910188,236044.78515625,2732.04973163009,4b935034-c240-4083-9e96-1eba45d65802
64,2007086,Millville Plains Conservation Area,2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Vernal Pool Habitat,U.S. Fish and Wildlife Service,Shasta,275000,837716,250, ,64,8434.54729945,1618939.578125,11098.804155597,f5131349-9399-4819-9111-34acf5480300
65,2007084,"Daugherty Hill Wildlife Area, Expansion 11",2008/11/20 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Deer Range Habitat,California Department of Fish and Wildlife,Butte,610000,610000,704, ,65,7972.07811468,3916710.51171875,10333.161358744,a76d93e4-0078-4ae4-b076-0beb597dd1f1
66,2008177,"South Fork American River, Lower Canyon Unit, Expansion 3",2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Open Space,American River Conservancy,El Dorado,410000,570000,45, ,66,2403.44973642,242094.20703125,3084.37323731415,3642ecc3-fe15-40e3-815a-bb484f460750
67,2008124,"Burton Mesa Ecological Reserve, Expansion 1",2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,N/A,Santa Barbara,469000,469000,6, ,67,5764.62790326,131347.0234375,7022.26091748632,cb7c1866-e1f0-46cf-affd-f125d0c53dd1
68,2008095,Shaver Lake Boat Launch Boarding Float,2008/11/20 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,County of Fresno,Fresno,156000,312000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),68,1060.49642815,88525.71484375,1332.01665041342,b3b5b6d1-5d09-4a30-a445-ed52d31369d1
69,2007010,"Whitewater Canyon, MacKenzie Ranch",2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Coachella Valley Mountains Conservancy,Riverside,410000,2741404,60, ,69,10927.7363788,1463624.39453125,13197.1499982254,50e558f3-afe2-4c02-bef6-89b829170ac7
70,2008181,"Watsonville Slough Conservation Area, Expansion 1",2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Agricultural Lands,Land Trust of Santa Cruz County,Santa Cruz,505000,3100000,94, ,70,2902.9153502,593097.6640625,3633.96087141639,9e5cbec7-c9ec-480b-89c9-08c692cd7fe5
71,2008178,"Daugherty Hill Wildlife Area, Expansion 12",2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Oak Woodland/Oak Savannah Habitat,N/A,Yuba,935000,1860750,529, ,71,8817.84143386,3423736.94921875,11405.3721914694,3a031e9b-6283-45af-a34f-f38de37e8b22
72,2008174,"DFG Land Management Plans, Northern Region, Phase II Augmentation",2008/11/20 00:00:00+00,Development,"Other (Plan, Study, Etc.)",Miscellaneous Projects Program,Riparian Habitat,"California Wildlife Foundation, Inc.",Shasta,28002,28002,141,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),72,5145.78945743,1064094.6796875,6762.71211027037,2ed58689-8f29-435c-a18c-42dcd414b378
73,2008111,Dry Creek Oak Woodland Corridor,2008/11/20 00:00:00+00,Development,Restoration/Enhancement,Ecosystem Restoration on Agricultural Lands Program,Agricultural Lands,"National Audubon Society, Inc. d/b/a Audubon California",Yolo,295000,760437,75,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),73,18381.9466042,6266602.61328125,23512.4205856524,5fbfdd06-3df0-47c1-81e6-8156bb2c977f
74,2008091,"Fieldstone Habitat Conservation Plan, Expansion 1",2008/08/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Sage Scrub,Peter N. Robertson,San Diego,20000,11020000,235, ,74,6296.68404523,1338072.796875,7530.73913694547,b66c69c6-5ae2-493f-b563-864a5248f118
75,2008026,"Hastings Natural History Reservation, Facilities Upgrade I",2008/08/28 00:00:00+00,Development,Infrastructure,"The University of California, Natural Reserve System Program",Public Education & Outreach,Regents of University of California,Monterey,550732,1101464,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),75,21807.3611195,15391113.1367188,27113.7747846018,af229763-33ba-4a9b-bc4d-98ce9302276e
76,2008146,Truckee Basin (Perazzo Meadows),2008/11/20 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Forest Habitat,Truckee Donner Land Trust,Sierra,764696,3714696,982, ,76,13261.6110701,6658217.34375,17193.0383292978,b0b9275e-5af8-4d54-929e-f04798ba0438
77,2008151,Elkhorn Basin Ranch,2008/11/20 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Agricultural Lands,Sacramento Valley Conservancy,Yolo,3780000,3780000,835, ,77,10618.6501131,4590017.796875,13616.4952526765,49feda99-dcfa-4e2a-a0c3-d650bb0b9b4c
